ID,Sticker,Latitud,Longitud,Nombre_comun
433,030394,2.9484,-75.298,Pomarrosa
434,030394,2.9484,-75.298,Oití
435,030395,2.948,-75.298,Maíz tostao
436,030395,2.948,-75.298,Maíz tostao
437,030395,2.948,-75.298,Maíz tostao
438,026144,2.9478,-75.298,Almendro
439,026118,2.9473,-75.298,Oití
440,026118,2.9473,-75.298,Oití
441,030397,2.9471,-75.298,Oití
442,030397,2.9471,-75.298,Oití
443,030397,2.9471,-75.298,Oití
444,030397,2.9471,-75.298,Oití
445,026116,2.9469,-75.298,Oití
446,026116,2.9468,-75.298,Oití
447,026133,2.9465,-75.298,Almendro
448,026133,2.9464,-75.298,Almendro
449,016111,2.9462,-75.298,Buganvilla
450,016111,2.9462,-75.298,Buganvilla
451,016111,2.9462,-75.298,Buganvilla
452,016111,2.9461,-75.298,Oití
453,016111,2.9461,-75.298,Oití
454,016111,2.9461,-75.298,Oití
455,016111,2.9461,-75.298,Oití
456,016120,2.946,-75.2979,Oití
457,016120,2.946,-75.2979,Oití
458,016120,2.946,-75.2979,Oití
459,026746,2.9457,-75.2979,Oití
460,026746,2.9457,-75.2979,Oití
461,026745,2.9453,-75.2979,Almendro
462,026745,2.9453,-75.2979,Almendro
463,026714,2.9451,-75.2979,Oití
464,026714,2.9451,-75.2979,Palma areca
465,026714,2.9451,-75.2979,Palma areca
466,026714,2.9451,-75.2979,Palma areca
467,026714,2.9451,-75.2979,Palma areca
468,026714,2.9451,-75.2979,Palma areca
469,026714,2.9451,-75.2979,Palma areca
470,026714,2.9451,-75.2979,Palma areca
471,026714,2.9451,-75.2979,Palma areca
472,026714,2.9451,-75.2979,Palma areca
473,026714,2.9451,-75.2979,Palma areca
474,026714,2.9451,-75.2979,Palma areca
475,026714,2.9451,-75.2979,Palma areca
476,026714,2.9451,-75.2979,Palma areca
477,027077,2.9449,-75.2979,Carbonero
478,027077,2.9448,-75.2979,Oití
479,027028,2.9445,-75.2979,Mango
480,027032,2.944,-75.2978,Samán
481,015855,2.9444,-75.2974,Maíz tostao
482,015839,2.9444,-75.2974,Maíz tostao
483,015839,2.9444,-75.2974,Maíz tostao
484,A25210&C2-0511,2.9444,-75.2975,Oití
485,A25210&C2-0511,2.9444,-75.2975,Oití
486,015834,2.9443,-75.2973,Oití
487,015834,2.9443,-75.2973,Oití
488,015834,2.9444,-75.2973,Anon
489,A25210&C2-0511,2.9444,-75.2973,Oití
490,A25210&C2-0511,2.9444,-75.2973,Oití
491,015801,2.9445,-75.2974,Guanabana
492,015801,2.9445,-75.2974,Guanabana
493,015846,2.9445,-75.2974,Guacimo
494,015867,2.9446,-75.2975,Oití
495,015867,2.9446,-75.2975,Oití
496,015867,2.9446,-75.2975,Oití
497,015867,2.9446,-75.2975,Oití
498,015867,2.9446,-75.2975,Oití
499,015857,2.9446,-75.2974,Oití
500,015857,2.9446,-75.2974,Oití
501,015857,2.9446,-75.2974,Oití
502,015848,2.9446,-75.2973,Nispero
503,015858,2.9446,-75.2972,Caucho
504,015858,2.9446,-75.2972,Almendro
505,034020,2.9442,-75.2971,Oití
506,034020,2.9442,-75.2971,Oití
507,020539,2.9444,-75.2969,Oití
508,020539,2.9444,-75.2969,Oití
509,050339,2.9447,-75.2968,limoncillo
510,035329,2.9447,-75.2971,Maíz tostao
511,034228,2.9448,-75.2974,Ocobo
512,034228,2.9448,-75.2973,Caucho
513,034228,2.9448,-75.2973,Caucho
514,034228,2.9448,-75.2973,Caucho
515,019404,2.9448,-75.2976,Oití
516,019404,2.9448,-75.2977,Oití
517,019404,2.9448,-75.2977,Oití
518,019404,2.9448,-75.2977,Oití
519,019404,2.9448,-75.2977,Oití
520,015853,2.9449,-75.2974,Oití
521,015853,2.9449,-75.2974,Mamoncillo
522,015853,2.9449,-75.2974,Mamoncillo
523,015844,2.9449,-75.2974,Ocobo
524,015856,2.9448,-75.2973,Almendro
525,015856,2.9449,-75.2973,Oití
526,015856,2.9449,-75.2973,Oití
527,015847,2.945,-75.2973,Caucho
528,015805,2.945,-75.2973,Caucho
529,015805,2.945,-75.2973,Caucho
530,015861,2.945,-75.2974,Caucho
531,015864,2.945,-75.2974,Caucho
532,015870,2.945,-75.2974,Caucho
533,015865,2.945,-75.2972,Gomo
534,030904,2.945,-75.2968,Oití
535,030904,2.945,-75.2968,Oití
536,030904,2.945,-75.2968,Oití
537,023825,2.9451,-75.297,Neem
538,023825,2.9451,-75.297,Neem
539,023825,2.9451,-75.297,Neem
540,023842,2.9451,-75.2973,Almendro
541,023842,2.9453,-75.2973,Almendro
542,015871,2.9453,-75.2973,Mango
543,015841,2.9453,-75.2974,Mango
544,015841,2.9453,-75.2974,Mango
545,015807,2.9453,-75.2972,Oití
546,015854,2.9453,-75.2972,Oití
547,015854,2.9453,-75.2972,Oití
548,039354,2.9454,-75.2973,Acacia
549,015868,2.9456,-75.2974,Oití
550,015866,2.9456,-75.2974,Oití
551,015808,2.9455,-75.2972,Oití
552,015802,2.9455,-75.2972,Oití
553,023821,2.9456,-75.2972,Oití
554,023588,2.9452,-75.2967,Oití
555,020746,2.9456,-75.2966,Oití
556,023821,2.9456,-75.297,Oití
557,022821,2.9456,-75.297,Croton de jardin
558,022821,2.9456,-75.297,Croton de jardin
559,022821,2.9456,-75.297,Croton de jardin
560,022821,2.9456,-75.297,Croton de jardin
561,023829,2.9456,-75.2975,Oití
562,023829,2.9456,-75.2975,Oití
563,023829,2.9456,-75.2976,Oití
564,026746,2.9456,-75.2979,Oití
565,015809,2.9457,-75.2972,Mango
566,015803,2.9457,-75.2972,Mango
567,015851,2.9458,-75.2972,Guanabana
